state,year,govelec,black,metro,unem,criv,crip,ag0_14,ag15_17,ag18_24,ag25_34,incpc,polpc,pris,final1,final2
5,87,0,0.0749,0.9558,0.05767,914.22046,5565.4966,0.21636607,0.043705225,0.11930734,0.1960975,17830.941,265.59744,212.99167,0,0
5,88,0,0.0746,0.9562,0.052999996,920.1518,5646.3604,0.21820545,0.041701797,0.11793845,0.19526419,18705.871,263.64178,233.32973,0,0
5,89,0,0.0743,0.9566,0.050829995,972.46906,5755.069,0.22068588,0.03942775,0.117290705,0.19333974,19619.92,266.40427,259.2046,0,0
5,90,1,0.074,0.95699996,0.05617,1040.6871,5534.4307,0.2248988,0.038810264,0.114657566,0.19030413,20665.762,269.77484,288.65082,0,0
5,91,0,0.073699996,0.95739996,0.075,1088.9663,5677.6104,0.2308679,0.037918903,0.10879074,0.18818036,20879.94,292.5116,314.90515,0,0
5,92,0,0.0734,0.9578,0.091000006,1118.7053,5554.74,0.23453632,0.03806441,0.103608996,0.18514322,21599.55,285.40863,323.98788,0,0
5,93,0,0.0731,0.9582,0.092,1077.7643,5379.142,0.23741628,0.037903305,0.09938803,0.18163468,21883.385,274.7429,341.3724,0,0
6,80,0,0.035,0.805,0.0585,526.4706,6777.578,0.2266436,0.052941173,0.14463668,0.19723183,10688.288,274.11765,93.2959,0,0
6,81,0,0.0355,0.806,0.05533,529.0463,6787.072,0.2256548,0.04936199,0.13969107,0.20382807,11953.0205,268.67026,90.27682,0,0
6,82,1,0.036,0.807,0.07742,501.43695,6539.19,0.22501633,0.046701502,0.13455258,0.20411496,12757.3955,275.1143,93.01544,0,0
6,83,0,0.0365,0.808,0.06675,477.18573,6160.4976,0.2255903,0.04499043,0.12890874,0.20421186,13371.829,262.9866,107.31548,0,0
6,84,0,0.037,0.809,0.056500003,458.92743,6028.5176,0.22429022,0.04479495,0.12302839,0.2037855,14288.07,272.1451,110.2425,0,0
6,85,0,0.0375,0.81,0.05875,474.2599,6492.2407,0.22343409,0.04549704,0.1177937,0.20286694,14778.165,270.3646,106.94006,0,0
6,86,1,0.038,0.811,0.07417,528.4213,6568.613,0.22242817,0.04603027,0.112449795,0.2008032,15065.095,275.31665,113.15051,0,0
6,87,0,0.0385,0.812,0.07667,472.6687,6049.8467,0.22361964,0.045092024,0.108282216,0.19723926,15503.43,276.8865,128.11244,0,0
6,88,0,0.039,0.813,0.06442,476.64008,5754.721,0.2244022,0.042611893,0.10576334,0.19313306,16543.715,280.22684,153.86502,0,0
6,89,0,0.0395,0.814,0.05792,477.2894,5637.729,0.22435898,0.03998779,0.104090355,0.18864469,17766.156,278.5867,186.57266,0,0
6,90,1,0.04,0.815,0.04958,523.6628,5503.3545,0.2233303,0.038984586,0.102145664,0.18434572,18785.904,275.37018,223.38216,0,0
6,91,0,0.0405,0.816,0.05,560.4451,5526.261,0.2240356,0.038575668,0.09970327,0.17982195,19743.736,314.6291,231.8223,0,0
6,92,0,0.040999997,0.817,0.059,579.68256,5387.7056,0.22337662,0.03924964,0.09841269,0.17431457,20574.924,314.43002,249.02077,0,0
6,93,0,0.041500002,0.818,0.051999997,567.27423,4959.507,0.22349972,0.03982053,0.09702748,0.16909702,21475.217,316.2647,259.6537,0,0
7,80,0,0.07,0.927,0.05867,410.8108,5446.6855,0.20817246,0.056628056,0.123873875,0.15797941,12186.145,264.02832,69.08914,0,0
7,81,0,0.0713,0.9267,0.0615,448.48193,5394.375,0.20134228,0.05465005,0.12527965,0.16299137,13508.009,262.09653,88.48134,0,0
7,82,1,0.0726,0.9264,0.06925,401.30615,5050.3984,0.19655941,0.051927365,0.12551768,0.1627907,14492.877,264.60657,106.99904,0,0
7,83,0,0.0739,0.9261,0.06025,372.13788,4567.9,0.19386464,0.04933586,0.12523718,0.16476913,15412.566,264.16824,99.68143,0,0
7,84,0,0.0752,0.9258,0.046080004,390.62894,4200.409,0.19056605,0.04779874,0.12389937,0.16698113,17098.252,264.1824,113.12461,0,0
7,85,0,0.0765,0.92550004,0.048500005,398.56296,4266.5415,0.18806623,0.047172755,0.122149326,0.16932209,18270.51,270.353,117.86164,0,0
7,86,1,0.077800006,0.9252,0.03792,421.15384,4355.18,0.18672457,0.046836227,0.11941688,0.17152604,19675.943,275.43423,126.30428,0,0
7,87,0,0.0791,0.9249,0.03317,414.3825,4525.9624,0.1869418,0.04434863,0.11641515,0.17369881,21239.514,279.67355,134.18114,0,0
7,88,0,0.0804,0.9246,0.02992,451.0697,4598.258,0.18856968,0.040953547,0.1133863,0.17573349,23163.314,283.6797,142.80875,0,0
7,89,0,0.0817,0.9243,0.03642,504.90402,4694.456,0.19128846,0.037465733,0.1096558,0.17727688,24551.078,279.43954,144.34596,0,0
7,90,1,0.083000004,0.924,0.050829995,553.5584,4831.7217,0.19403893,0.03588808,0.10462287,0.17670317,25435.791,275.72992,192.17178,0,0
7,91,0,0.084300004,0.92370003,0.067,539.848,4825.836,0.1969605,0.034954406,0.09908815,0.17355624,25847.441,262.03647,236.34428,0,0
7,92,0,0.0856,0.9234,0.075,495.6389,4560.3843,0.19945104,0.035071667,0.09362611,0.16895396,27155.42,268.67947,260.94223,0,0
7,93,0,0.086899996,0.9231,0.062,456.17944,4194.1714,0.20140374,0.035093073,0.08910589,0.1638694,27959.986,270.43027,268.19153,0,0
8,80,0,0.161,0.67,0.0775,475.42087,6310.101,0.22222221,0.057239056,0.13973065,0.15993266,10373.765,268.0135,182.85715,0,0
8,81,0,0.1618,0.6693,0.08,510.73828,6201.007,0.21644294,0.055369128,0.14261745,0.16442953,11303.399,264.26175,182.99663,0,0
8,82,1,0.1626,0.6686,0.084,562.6043,5854.2573,0.21535893,0.05175292,0.14190318,0.16527545,12035.1455,252.58765,209.39598,0,0
8,83,0,0.1634,0.6679,0.08083,453.8843,5021.157,0.21487604,0.047933884,0.13884297,0.16694216,12803.117,249.09091,252.58765,0,0
8,84,0,0.16420001,0.6672,0.06167,436.4379,4578.5947,0.2124183,0.045751635,0.13562092,0.16993463,13731.085,253.43137,260.99173,0,0
8,85,0,0.165,0.66650003,0.05367,436.08414,4557.2812,0.2119741,0.045307446,0.13268608,0.17313915,14712.616,259.3851,252.61438,0,0
8,86,1,0.1658,0.66580003,0.04333,430.414,4439.6494,0.20859873,0.046178345,0.12738854,0.1767516,15531.656,262.8981,284.62784,0,0
8,87,0,0.1666,0.66510004,0.03333,435.47882,4557.614,0.20722136,0.043956045,0.12244898,0.17896388,16365.984,274.09732,311.46497,0,0
8,88,0,0.1674,0.66440004,0.03158,460.03085,4427.932,0.20833334,0.041666664,0.120370366,0.17901234,17547.232,284.10495,338.9325,0,0
8,89,0,0.1682,0.66370004,0.03583,569.1489,4406.9907,0.2082067,0.03799392,0.11702128,0.1793313,18874.996,292.17325,340.58643,1,0
8,90,1,0.169,0.66300005,0.05233,652.4664,4685.2017,0.20926756,0.037369207,0.11360239,0.17787743,19720.514,299.55154,347.11246,0,1
8,91,0,0.1698,0.66230005,0.062,713.2159,5147.577,0.20998532,0.03671072,0.11013216,0.17621145,20310.53,282.8194,334.97757,0,1
8,92,0,0.1706,0.66160005,0.053000003,619.3922,4215.0503,0.21128799,0.03617945,0.105643995,0.17366137,21098.406,285.6729,363.14246,0,0
8,93,0,0.1714,0.66089994,0.053000003,685.8572,4186.2856,0.21285716,0.037142858,0.101428576,0.17,21743.47,374.5714,391.46167,0,0
9,80,1,0.703,1.0,0.074,2075.5486,8116.4575,0.17711599,0.04702194,0.15203762,0.19278997,12500.663,678.8401,399.84616,0,0
9,81,0,0.6985,1.0,0.08866999,2361.8525,8554.945,0.17268446,0.045525905,0.15070644,0.2009419,13627.722,656.3579,426.17554,0,0
9,82,0,0.694,1.0,0.104169995,2191.6404,8358.201,0.170347,0.04258675,0.14984228,0.2066246,14672.903,692.2713,460.28256,0,0
9,83,0,0.6895,1.0,0.11592,1957.1204,7361.392,0.16613925,0.03955696,0.1471519,0.21044303,15442.862,697.6266,528.5489,0,0
9,84,1,0.685,1.0,0.09075,1771.406,6888.1514,0.16429698,0.03949447,0.14375988,0.21327014,16680.057,696.05054,548.2595,0,0
9,85,0,0.68050003,1.0,0.08367,1602.9921,6290.394,0.16377953,0.03937008,0.13858268,0.21574803,17534.297,703.937,587.36176,0,0
9,86,0,0.676,1.0,0.07733,1476.9592,6705.4854,0.16300939,0.040752348,0.13322884,0.21786834,18060.77,701.7241,725.03937,0,0
9,87,0,0.6715,1.0,0.06342,1572.3705,6680.22,0.1632653,0.03924647,0.13029827,0.21664052,19272.275,712.48035,750.3135,0,0
9,88,1,0.667,1.0,0.04842,1891.1112,7866.1904,0.16349207,0.03809524,0.13174604,0.21111111,21301.715,730.1587,881.31866,0,0
9,89,0,0.6625,1.0,0.05075,2073.2373,7890.2246,0.16506411,0.033653844,0.13301282,0.20512821,22800.186,808.0129,1052.0635,0,0
9,90,0,0.65800005,1.0,0.06733,2470.033,8355.96,0.16556291,0.031456955,0.13576159,0.20033114,24632.482,907.9471,1065.7051,0,0
9,91,0,0.65349996,1.0,0.077,2469.8652,8370.707,0.17003366,0.028619528,0.12794612,0.20033671,26104.518,866.6667,1125.4967,0,0
9,92,1,0.649,1.0,0.084,2852.1367,8632.821,0.17094018,0.027350428,0.11965812,0.2017094,28323.25,890.0855,1196.2963,0,0
9,93,0,0.64449996,1.0,0.085,2921.7993,8839.273,0.1730104,0.025951557,0.11072664,0.20069204,29859.475,903.4602,1286.8375,0,0
10,80,1,0.138,0.90300006,0.05867,965.47296,7282.2695,0.19259185,0.049558792,0.11697106,0.14477734,9930.263,286.6099,205.88795,0,1
10,81,0,0.1378,0.90349996,0.06808,962.5134,7048.661,0.18944374,0.04660061,0.11713921,0.15196703,10945.318,295.4773,207.37738,0,0
10,82,0,0.1376,0.90400004,0.08167,892.0924,6533.9126,0.18708815,0.043930855,0.11603477,0.1538535,11502.044,299.58936,227.60718,0,0
10,83,0,0.1374,0.90449995,0.08617,821.3209,5915.665,0.18511628,0.04148837,0.1147907,0.15683721,12363.517,290.58603,259.1825,0,0
10,84,1,0.1372,0.905,0.06317,862.9529,5918.7407,0.18333334,0.04030797,0.11231884,0.15932971,13255.313,294.30252,236.21394,0,0
10,85,0,0.137,0.90550005,0.05983,942.3927,6641.8643,0.18236278,0.04008457,0.109153375,0.16174786,14182.301,294.6965,242.38223,0,0
10,86,0,0.1368,0.90599996,0.05717,1037.1357,7196.186,0.18186493,0.040709633,0.10541653,0.16352417,15022.853,305.63937,250.92062,0,0
10,87,0,0.1366,0.90650004,0.05333,1026.6566,7494.9316,0.18187879,0.040176712,0.10219221,0.1647912,15800.422,314.72452,276.20844,0,0
10,88,1,0.1364,0.90699995,0.04992,1124.1915,7865.017,0.18421908,0.03868032,0.098976105,0.16487892,16668.824,323.85016,269.7341,0,0
10,89,0,0.1362,0.9075,0.05608,1112.32,7715.16,0.1861054,0.03623991,0.09677164,0.164583,18042.764,327.49643,281.82187,0,0
10,90,0,0.136,0.90800005,0.05933,1237.9084,7527.443,0.18869665,0.034986544,0.093886964,0.16278355,18808.488,330.06537,316.23676,0,0
10,91,0,0.1358,0.90849996,0.073,1184.6832,7365.1025,0.19219467,0.034355458,0.09018308,0.1592707,19202.924,391.5392,341.2534,0,0
10,92,1,0.1356,0.90900004,0.081999995,1207.6466,7153.6973,0.19572796,0.03456204,0.08699844,0.15419418,19685.37,392.6352,350.56882,0,0
10,93,0,0.1354,0.90949994,0.07,1206.0458,7144.9893,0.19709043,0.03457855,0.084801525,0.1489144,20710.344,411.78452,358.1176,0,0
11,80,0,0.268,0.62299997,0.064,549.0207,4990.884,0.24363904,0.057660628,0.13399231,0.17023613,8389.497,250.26543,215.99702,0,0
11,81,0,0.2682,0.6257,0.064,548.25793,5081.2856,0.23958334,0.054956898,0.13344109,0.17564656,9287.362,253.41237,218.23175,0,0
11,82,1,0.2684,0.6284,0.07817,477.22125,4727.3804,0.23646016,0.05221239,0.13256638,0.1759292,9883.217,249.92921,222.28809,0,0
11,83,0,0.26860002,0.6311,0.07492,457.03564,4051.3618,0.23376396,0.04975559,0.13163409,0.17702514,10706.428,248.58589,248.46017,0,0
11,84,0,0.2688,0.6338,0.06025,478.74893,4020.9255,0.23016281,0.048671808,0.12990575,0.17840616,11975.583,239.14311,260.73672,0,0
11,85,0,0.269,0.6365,0.06542,508.31793,4612.9463,0.22790542,0.048633236,0.12728493,0.17977528,12864.85,239.81218,250.14568,0,0
11,86,1,0.2692,0.6392,0.05925,589.4659,4882.991,0.22481512,0.049630236,0.123911254,0.18126541,13799.009,246.77074,257.63876,0,0
11,87,0,0.2694,0.6419,0.05475,577.7706,5227.303,0.22293814,0.048969075,0.120650776,0.18234535,14547.679,266.86533,260.4766,0,0
11,88,0,0.2696,0.6446,0.058,674.30334,5737.4287,0.22340088,0.047498416,0.11827105,0.18255225,15487.557,286.85876,285.50256,0,0
11,89,0,0.2698,0.6473,0.05533,738.68353,6362.003,0.22461395,0.04492279,0.116362505,0.18171892,16250.785,281.21976,285.27548,0,0
11,90,1,0.27,0.65,0.0545,752.85803,5979.794,0.22449294,0.043177627,0.11401352,0.18070069,17118.393,275.66074,306.0209,0,0
11,91,0,0.2702,0.65269995,0.05,737.6886,5750.8296,0.22465299,0.041943267,0.11104406,0.17878696,17635.959,342.44116,332.99017,0,0
11,92,0,0.27040002,0.65540004,0.069,730.784,5653.8315,0.22442049,0.041783553,0.10866676,0.17554998,18472.791,371.96222,347.14847,0,0
11,93,0,0.2706,0.65809995,0.058000002,723.1314,5469.828,0.22437473,0.04178112,0.10669365,0.17189533,19203.701,368.28107,366.86844,0,0
12,80,0,0.018,0.79,0.04792,299.37823,7180.4146,0.23419689,0.051813472,0.14715026,0.18652849,10809.411,260.10364,56.55824,0,0
12,81,0,0.0187,0.78650004,0.05317,247.85275,6302.2495,0.23210634,0.049079757,0.14212678,0.19120654,11495.646,265.2352,64.663216,0,0
12,82,1,0.0194,0.78300005,0.06742,255.73439,6328.5713,0.2303823,0.046277665,0.13682093,0.19215292,12004.814,264.48694,77.40286,0,0
12,83,0,0.0201,0.77949995,0.0635,254.59032,5612.3394,0.23000988,0.044422507,0.13228036,0.19249754,12948.294,267.6209,90.84507,0,0
12,84,0,0.0208,0.77599996,0.05708,234.33852,5308.657,0.229572,0.043774318,0.12743191,0.192607,13588.555,266.3424,105.13327,0,0
12,85,0,0.0215,0.7725,0.05625,222.40384,5048.1733,0.22788462,0.04423077,0.12211538,0.19134615,14336.781,268.26923,129.37744,0,0
12,86,1,0.0222,0.769,0.04883,247.5285,5477.7563,0.22338404,0.044676803,0.11977186,0.19011407,15261.18,265.019,137.3077,0,0
12,87,0,0.0229,0.7655,0.03883,266.94757,5632.6777,0.22003746,0.043071162,0.11797752,0.18726592,16088.249,276.6854,144.58174,0,0
12,88,0,0.023599999,0.76199996,0.03083,260.18518,5800.926,0.21851853,0.041666664,0.11481482,0.18518518,17521.795,289.07407,143.4457,0,0
12,89,0,0.024300002,0.7585,0.02475,274.3379,6093.425,0.21735159,0.039269406,0.11232877,0.18356165,19138.66,290.68494,139.81482,0,0
12,90,1,0.025,0.755,0.02783,279.44345,5795.601,0.21633753,0.037701976,0.10951526,0.18043089,20885.387,291.20288,160.0,0,0
12,91,0,0.0257,0.7515,0.027999999,241.76212,5728.6343,0.21674009,0.037004407,0.10572687,0.17797357,21620.053,289.0749,153.32137,0,0
12,92,0,0.026400002,0.748,0.045,259.34256,5873.789,0.21626297,0.037197232,0.10294118,0.1730104,22414.87,293.2526,155.59471,0,0
12,93,0,0.0271,0.7445,0.042,261.17746,6015.7847,0.21757679,0.037542664,0.100682594,0.16808873,23369.504,288.7372,192.21454,0,0
13,80,0,0.003,0.183,0.07925,313.24152,4467.055,0.27118644,0.054025427,0.13029662,0.16419491,8474.252,240.4661,88.96034,0,0
13,81,0,0.003,0.1851,0.07492,282.43243,4234.1997,0.27234927,0.05093555,0.12681912,0.16735968,9103.046,239.3971,86.546616,0,0
13,82,1,0.003,0.1872,0.09942,256.77618,3788.7063,0.2731006,0.049281314,0.123203285,0.16529773,9288.253,241.37578,99.48025,0,0
13,83,0,0.003,0.1893,0.09842,240.4277,3652.9534,0.2718941,0.04786151,0.1191446,0.16496944,10070.965,226.68025,107.18685,0,0
13,84,0,0.003,0.19139999,0.0715,237.63876,3471.0393,0.27144298,0.047426842,0.11503532,0.16347124,10640.81,232.99696,120.87576,0,0
13,85,0,0.003,0.1935,0.07958,237.42455,3713.8833,0.26861167,0.04828974,0.11167002,0.16297787,11107.585,234.00403,126.437935,0,0
13,86,1,0.003,0.19559999,0.08683,225.45454,4036.7676,0.26565656,0.04949495,0.10606061,0.16262627,11553.658,229.19193,136.1167,0,0
13,87,0,0.003,0.19770001,0.080419995,217.05585,3994.1116,0.26294416,0.049746193,0.10253807,0.16142131,12029.434,232.18274,146.26262,0,0
13,88,0,0.003,0.1998,0.05875,237.82962,3787.5251,0.2616633,0.048681542,0.09939148,0.158215,12847.871,233.77283,150.05077,0,0
13,89,0,0.003,0.2019,0.051,259.75854,3750.3018,0.26056337,0.0472837,0.098591544,0.15492958,14327.186,252.61569,180.6288,0,0
13,90,1,0.003,0.204,0.0585,274.0375,3758.0457,0.25962487,0.048371177,0.09772952,0.15103653,15283.645,268.21323,199.19518,0,0
13,91,0,0.003,0.2061,0.061,290.55878,3909.2488,0.2581888,0.049132947,0.09922929,0.14547206,15850.007,254.62427,205.72557,0,0
13,92,0,0.003,0.2082,0.065,281.7073,3718.1987,0.25328332,0.05159475,0.10131332,0.14165103,16674.55,257.5985,216.37764,0,0
13,93,0,0.003,0.21030001,0.061,281.80164,3563.3306,0.25022748,0.051865328,0.10464058,0.13739763,17541.93,244.13101,229.64354,0,0
14,80,0,0.147,0.817,0.08267,491.18753,4750.8623,0.22849391,0.055307604,0.13196814,0.16233483,10888.5205,331.17178,99.68413,0,0
14,81,0,0.1471,0.818,0.08508,444.56,4510.8623,0.2266888,0.0524338,0.13073495,0.1683125,12045.943,326.79367,93.84791,0,0
14,82,1,0.1472,0.819,0.11317,454.82797,4372.844,0.22550993,0.04998687,0.12877528,0.16904491,12534.347,326.70926,122.37176,0,0
14,83,0,0.14729999,0.82,0.11424999,733.00903,4845.7974,0.22447191,0.0479446,0.12621614,0.17100534,13064.734,321.64957,122.11327,0,0
